,nomLong,nomCourt
1,BATIGERE EN ILE DE FRANCE,Batigere
2,BONDY HABITAT  OFFICE PUBLIC DE L'HABITAT D'EST ENSEMBLE,Bondy Habitat
3,CDC HABITAT SOCIAL SOCIETE ANONYME D'HABITATIONS A LOYER MOD,CDC Habitat
4,HLM DE LA PLAINE DE FRANCE,Plaine de France
5,ICF LA SABLIERE SA D'HLM,ICF La Sablière
6,IMMOBILIERE 3F,Immobilière 3 F
7,LOGEMENT GEST IMMOBILIERE REG PARISIENNE,Gest Immobilière RP
8,OFFICE PUBLIC D HLM DE BONDY BONDY HABITAT,Bondy Habitat
9,OFFICE PUBLIC D HLM DE LA VILLE DE BONDY BONDY HABITAT,Bondy Habitat
10,OFFICE PUBLIC HABITAT SEINE SAINT DENIS,OPH Seine St Denis
11,OPHLM DE LA VILLE DE BONDY BONDY HABITAT,Bondy Habitat
12,RATP HABITAT,RATP Habitat
13,SEQENS SOCIETE ANONYME D'HABITATIONS A LOYER MODERE,Seqens
14,SOFILOGIS,Sofilogis
15,TERRALIA,Terralia
16,VILOGIA SOCIETE ANONYME D'HLM,Vilogia
