"","categorie","Catégories.de.point.dinterêt","couleurs.x","sousCouleurs"
"1","Action sociale","Action sociale","#a04c64","#FFE4E1"
"5","Action sociale","Action sociale|Santé|Séniors","#a04c64","#FFE4E1"
"6","Action sociale","Action sociale|Séniors","#a04c64","#FFE4E1"
"7","Action sociale","Seniors","#a04c64","#FFE4E1"
"9","Commerce","Commerce","#FF7F50","#FAEBD7"
"10","Culte","Culte","#b0c8ed","#F0F8FF"
"13","Culture","Culture","#f3dfa3","#F5F5DC"
"19","École","Etablissements scolaires","#ecdbdf","#FFF0F5"
"30","École","Etablissements scolaires privés","#ecdbdf","#FFF0F5"
"38","Éducation","Éducation","#f9c6db","#FFF0F5"
"39","Éducation","Enfance|Loisirs","#f9c6db","#FFF0F5"
"41","Éducation","Enfance|Loisirs interne","#f9c6db","#FFF0F5"
"42","Éducation","Equipements sportifs","#f9c6db","#FFF0F5"
"50","Éducation","Jeunesse|Services municipaux","#f9c6db","#FFF0F5"
"52","Éducation","Petite enfance","#f9c6db","#FFF0F5"
"61","Éducation","Jeunesse","#f9c6db","#FFF0F5"
"65","Environnement","Environnement","#79D527","#F0FFF0"
"70","Environnement","Propreté","#79D527","#F0FFF0"
"80","Santé","Santé","#8abeb7","#F0F8FF"
"85","Services publics","Services municipaux","#e6e7e3","#F5F5F5"
"90","Services publics","Services non municipaux","#e6e7e3","#F5F5F5"
"94","Services publics","Services municipaux","#c3e096","#F5FFFA"
"95","Sport","terrain","#c3e096","#F5FFFA"
"96","Sport","Equipements sportifs","#c3e096","#F5FFFA"
"110","Culture","Culture","#f3dfa3","#f3dfa3"
"111","Services publics","Services municipaux",NA,NA
"112","Culture","Culture",NA,NA
"115","École","Etablissements scolaires",NA,NA
"117","Environnement","Environnement",NA,NA
"120","Éducation","Recherche",NA,NA
"122","Culte","Culte",NA,NA
"125","Sport","terrain",NA,NA
"140","Environnement","Parking",NA,NA
"141","Action sociale","Action sociale|Enfance",NA,NA
"146","Environnement","parking",NA,NA
"148","Sport","Equipements sportifs",NA,NA
"152","École","Collège",NA,NA
"153","École","Lycée",NA,NA
"154","École","Collège Lycée",NA,NA
"156","Environnement","Transport",NA,NA
"160","Services publics","Services non municipaux",NA,NA
"167","Voirie","Pont",NA,NA
"171","Culture","Monument",NA,NA
"172","Action sociale","Action sociale",NA,NA
"177","Services publics","Service municipaux",NA,NA
